ID,Case Number,Date,Time,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Latitude,Longitude
9485337,HX138484,02/04/2014,05:00:00 AM,090XX S EMERALD AVE,810,THEFT,THEFT: OVER $500,VEHICLE NON-COMMERCIAL,false,false,2223,22,21,71,6,1172943,1844605,2014,41.7290231700946,-87.64205813835437
9485986,HX139367,02/04/2014,05:00:00 AM,022XX W WILSON AVE,610,BURGLARY,BURGLARY: FORCIBLE ENTRY,APARTMENT,false,false,1911,19,47,4,5,1160801,1930524,2014,41.9650529718788,-87.6841581889963
9485647,HX138792,02/04/2014,05:00:00 AM,057XX W IOWA ST,810,THEFT,THEFT: OVER $500,RESIDENCE,false,false,1511,15,29,25,6,1138005,1905468,2014,41.89673995987452,-87.76858130263604
9485047,HX138615,02/04/2014,05:00:00 AM,007XX E 77TH ST,910,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: AUTOMOBILE,STREET,false,false,624,6,6,69,7,1182423,1854154,2014,41.755012519877994,-87.60703563027883
9485359,HX138826,02/04/2014,05:00:00 AM,019XX W NORTH AVE,820,THEFT,THEFT: $500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,1424,14,1,24,6,1163407,1910632,2014,41.91041361780477,-87.67513811514912
9485736,HX139169,02/04/2014,05:00:00 AM,001XX W RANDOLPH ST,620,BURGLARY,BURGLARY: UNLAWFUL ENTRY,APARTMENT,false,false,122,1,42,32,5,1174765,1901307,2014,41.88457858040661,-87.63369284411573
9489160,HX139981,02/04/2014,05:00:00 AM,013XX N HUDSON AVE,820,THEFT,THEFT: $500 AND UNDER,RESIDENCE,false,false,1821,18,27,8,6,1173106,1909574,2014,41.90730065069773,-87.6395393782897
9486545,HX139873,02/04/2014,05:00:00 AM,078XX S WESTERN AVE,610,BURGLARY,BURGLARY: FORCIBLE ENTRY,SMALL RETAIL STORE,false,false,835,8,18,70,5,1161704,1852449,2014,41.7507886403516,-87.68301234263292
9486232,HX138612,02/04/2014,05:00:00 AM,021XX W CULLERTON ST,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,1234,12,25,31,6,1162291,1890423,2014,41.85498181975734,-87.67980322450464
9484768,HX138461,02/04/2014,04:54:00 AM,092XX S WESTERN AVE,610,BURGLARY,BURGLARY: FORCIBLE ENTRY,OTHER,true,false,2221,22,19,72,5,1162041,1842994,2014,41.72483564599663,-87.68203961174271
9485881,HX139300,02/04/2014,04:30:00 AM,055XX S ALBANY AVE,910,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: AUTOMOBILE,STREET,false,false,824,8,14,63,7,1156618,1867693,2014,41.79272444951583,-87.70123949300113
9484737,HX138439,02/04/2014,04:19:00 AM,036XX E 104TH ST,545,ASSAULT,ASSAULT: PRO EMP HANDS NO/MIN INJURY,APARTMENT,true,false,432,4,10,52,08A,1202320,1836572,2014,41.70628220359915,-87.53471810373814
9484731,HX138433,02/04/2014,04:00:00 AM,048XX W DAKIN ST,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,1634,16,45,15,6,1143129,1925764,2014,41.95234015220735,-87.7492536908711
9484732,HX138431,02/04/2014,04:00:00 AM,048XX W DAKIN ST,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,1634,16,45,15,6,1143094,1925763,2014,41.952338062592695,-87.74938237837074
9484729,HX138440,02/04/2014,03:22:00 AM,026XX W CHICAGO AVE,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,OTHER,false,false,1211,12,26,24,14,1158370,1905262,2014,41.89578246447005,-87.69378921955774
9484709,HX138424,02/04/2014,03:11:00 AM,024XX W LITHUANIAN PLAZA CT,1811,NARCOTICS,NARCOTICS: POSS: CANNABIS 30GMS OR LESS,STREET,true,false,832,8,15,66,18,1160931,1858864,2014,41.768408347591816,-87.68566801886955
9484733,HX138432,02/04/2014,03:00:00 AM,062XX S WABASH AVE,420,BATTERY,BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,311,3,20,40,04B,1177833,1863524,2014,41.780829920135844,-87.62357321521316
9485353,HX138485,02/04/2014,03:00:00 AM,029XX N MEADE AVE,1320,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO VEHICLE,STREET,false,false,2511,25,29,19,14,1135188,1918723,2014,41.93316369227217,-87.77861297107235
9484995,HX138540,02/04/2014,03:00:00 AM,054XX N MOBILE AVE,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,RESIDENCE-GARAGE,false,false,1622,16,45,11,14,1133202,1935935,2014,41.980430229674894,-87.78550714235242
9484710,HX138421,02/04/2014,02:52:00 AM,055XX W GRAND AVE,454,BATTERY,BATTERY: AGG PO HANDS NO/MIN INJURY,JAIL / LOCK-UP FACILITY,false,false,2515,25,29,19,08B,1138769,1913443,2014,41.91861046365038,-87.76558133919194
9484704,HX138425,02/04/2014,02:50:00 AM,035XX S HERMITAGE AVE,2022,NARCOTICS,NARCOTICS: POSS: COCAINE,STREET,true,false,912,9,11,59,18,1165217,1881442,2014,41.83027545238529,-87.66931838735589
21271,HX138414,02/04/2014,02:11:00 AM,076XX S WALLACE ST,110,HOMICIDE,HOMICIDE: FIRST DEGREE MURDER,STREET,false,false,621,6,17,69,01A,1173624,1854210,2014,41.75536550631099,-87.63927969496469
9484673,HX138410,02/04/2014,02:00:32 AM,011XX S LAFLIN ST,1750,OFFENSE INVOLVING CHILDREN,OFFENSE INVOLVING CHILDREN: CHILD ABUSE,RESIDENCE,false,false,1231,12,2,28,20,1166585,1895258,2014,41.86815871640521,-87.66390400959368
9484777,HX138469,02/04/2014,02:00:00 AM,030XX N SPAULDING AVE,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,1412,14,35,21,6,1153810,1920234,2014,41.9369589708429,-87.71013758782884
9485537,HX138693,02/04/2014,02:00:00 AM,062XX N LINCOLN AVE,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,HOTEL/MOTEL,false,false,1711,17,50,13,14,1152122,1941523,2014,41.99541087400578,-87.71577732833003
9485435,HX138445,02/04/2014,02:00:00 AM,067XX S EAST END AVE,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,332,3,5,43,6,1188737,1860550,2014,41.772415094855006,-87.58369262804383
9484736,HX138416,02/04/2014,01:58:00 AM,048XX W MADISON ST,320,ROBBERY,ROBBERY: STRONGARM - NO WEAPON,GAS STATION,false,false,1533,15,28,25,3,1144256,1899629,2014,41.880601852386995,-87.74576896628056
9484695,HX138409,02/04/2014,01:39:00 AM,018XX S KOMENSKY AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1012,10,24,29,08B,1149641,1890590,2014,41.855694907797634,-87.72623027976847
9485952,HX139200,02/04/2014,01:30:00 AM,063XX N RAVENSWOOD AVE,910,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: AUTOMOBILE,STREET,false,false,2433,24,40,77,7,1163239,1942467,2014,41.9977739535498,-87.67485669691088
9484686,HX138405,02/04/2014,01:15:00 AM,033XX N OLEANDER AVE,560,ASSAULT,ASSAULT: SIMPLE,RESIDENCE,false,true,1631,16,36,17,08A,1125201,1921469,2014,41.9408705136955,-87.81525424640274
9484707,HX138404,02/04/2014,01:13:00 AM,082XX S COLFAX AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,true,true,423,4,7,46,08B,1194974,1851038,2014,41.74616200726661,-87.56114300811213
9484950,HX138580,02/04/2014,01:04:00 AM,020XX N MAGNOLIA AVE,2826,OTHER OFFENSE,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,1811,18,43,7,26,1167612,1913664,2014,41.918644020728216,-87.65960311487942
9484726,HX138418,02/04/2014,01:00:00 AM,065XX S KEDZIE AVE,1320,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,831,8,15,66,14,1156224,1860780,2014,41.77376211042727,-87.70287011921279
9485331,HX138493,02/04/2014,01:00:00 AM,062XX W SCHOOL ST,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,RESIDENCE,false,false,1633,16,36,17,14,1133976,1921318,2014,41.94030609485793,-87.7830058396532
9485321,HX138492,02/04/2014,01:00:00 AM,041XX S ARTESIAN AVE,810,THEFT,THEFT: OVER $500,STREET,false,false,921,9,12,58,6,1160758,1876816,2014,41.8176745799695,-87.68580651548368
9485263,HX138535,02/04/2014,12:30:00 AM,030XX W ROSCOE ST,810,THEFT,THEFT: OVER $500,STREET,false,false,1733,17,33,21,6,1155750,1922403,2014,41.94287194021326,-87.70294916513147
9484688,HX138393,02/04/2014,12:21:00 AM,053XX W AUGUSTA BLVD,1811,NARCOTICS,NARCOTICS: POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1524,15,37,25,18,1140434,1906184,2014,41.8986605276043,-87.75964227250725
9484649,HX138381,02/04/2014,12:15:00 AM,055XX W GRAND AVE,1350,CRIMINAL TRESPASS,CRIMINAL TRESPASS: TO STATE SUP LAND,POLICE FACILITY/VEH PARKING LOT,true,false,2515,25,29,19,26,1138769,1913443,2014,41.91861046365038,-87.76558133919194
9485475,HX138376,02/04/2014,12:06:00 AM,007XX W 111TH ST,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,GAS STATION,false,false,2233,22,34,49,14,1173240,1831288,2014,41.69247282268384,-87.64136218945602
9484932,HX138534,02/04/2014,12:05:00 AM,064XX S BISHOP ST,910,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: AUTOMOBILE,STREET,false,false,725,7,17,67,7,1167741,1861706,2014,41.77606372870967,-87.66062452407554
9484698,HX138388,02/04/2014,12:05:00 AM,004XX E 72ND ST,454,BATTERY,BATTERY: AGG PO HANDS NO/MIN INJURY,SIDEWALK,true,false,323,3,6,69,08B,1180606,1857422,2014,41.76402216070038,-87.61359416735293
9484671,HX138384,02/04/2014,12:01:00 AM,062XX S SEELEY AVE,320,ROBBERY,ROBBERY: STRONGARM - NO WEAPON,STREET,false,false,714,7,15,67,3,1163811,1863164,2014,41.78014813222432,-87.67499071784295
9484755,HX138458,02/04/2014,12:00:00 AM,078XX S HALSTED ST,1780,OFFENSE INVOLVING CHILDREN,OFFENSE INVOLVING CHILDREN: OTHER OFFENSE,POLICE FACILITY/VEH PARKING LOT,false,false,621,6,17,71,26,1172284,1852999,2014,41.75207192786556,-87.64422598356452
9489159,HX142463,02/04/2014,12:00:00 AM,094XX S RHODES AVE,610,BURGLARY,BURGLARY: FORCIBLE ENTRY,RESIDENCE-GARAGE,false,false,633,6,9,49,5,1181522,1842550,2014,41.723190639512964,-87.61069459710328
9489253,HX142555,02/04/2014,12:00:00 AM,018XX E 71ST ST,1152,DECEPTIVE PRACTICE,DECEPTIVE PRACTICE: ILLEGAL USE CASH CARD,ATM (AUTOMATIC TELLER MACHINE),false,false,332,3,5,43,11,1189977,1858340,2014,41.76632092722116,-87.57921824936928
9485596,HX138971,02/04/2014,12:00:00 AM,024XX W POLK ST,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,1135,11,2,28,6,1160156,1896258,2014,41.87103796311605,-87.68747850737407
9484679,HX138375,02/03/2014,11:50:00 PM,068XX S PERRY AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,722,7,6,69,08B,1176536,1859701,2014,41.7703684748801,-87.62844311959174
9484677,HX138374,02/03/2014,11:41:00 PM,033XX S ARCHER AVE,1811,NARCOTICS,NARCOTICS: POSS: CANNABIS 30GMS OR LESS,STREET,true,false,912,9,11,59,18,1164503,1882710,2014,41.83377009286931,-87.67190224866289
9486732,HX140126,02/03/2014,11:35:00 PM,040XX N LAPORTE AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1624,16,45,15,08B,1142669,1926640,2014,41.95475256392554,-87.75092279931272
9486469,HX139914,02/03/2014,11:30:00 PM,056XX S LAFLIN ST,2825,OTHER OFFENSE,OTHER OFFENSE: HARASSMENT BY TELEPHONE,RESIDENCE,false,false,713,7,16,67,26,1167255,1867495,2014,41.79195987714518,-87.66224052842522
9485659,HX139032,02/03/2014,11:30:00 PM,052XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,OTHER OFFENSE: HARASSMENT BY TELEPHONE,RESIDENCE,false,false,231,2,3,40,26,1179783,1870030,2014,41.79863860455617,-87.61622524732034
9485620,HX138819,02/03/2014,11:30:00 PM,056XX N ASHLAND AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,true,false,2012,20,40,77,08B,1164608,1937297,2014,41.983558327678175,-87.66996797259722
9484642,HX138371,02/03/2014,11:20:00 PM,045XX W WRIGHTWOOD AVE,1310,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO PROPERTY,RESIDENCE,false,false,2521,25,31,20,14,1145433,1917170,2014,41.92871404372498,-87.7410023305373
9485932,HX139273,02/03/2014,11:06:00 PM,094XX S BISHOP ST,2820,OTHER OFFENSE,OTHER OFFENSE: TELEPHONE THREAT,RESIDENCE,false,false,2222,22,21,73,26,1168282,1842165,2014,41.72242889665414,-87.65920251740192
9484968,HX138529,02/03/2014,11:00:00 PM,041XX S CAMPBELL AVE,1320,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO VEHICLE,STREET,false,false,921,9,12,58,14,1160346,1876874,2014,41.81784224875888,-87.68731626198976
9484640,HX138356,02/03/2014,11:00:00 PM,018XX S KARLOV AVE,560,ASSAULT,ASSAULT: SIMPLE,RESIDENCE,false,true,1012,10,24,29,08A,1149321,1890494,2014,41.855437674634494,-87.72740733138514
9484658,HX138357,02/03/2014,11:00:00 PM,033XX W ADAMS ST,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1124,11,28,27,08B,1154063,1898915,2014,41.878452674131665,-87.70977734065595
9487169,HX138382,02/03/2014,11:00:00 PM,024XX N MILWAUKEE AVE,460,BATTERY,BATTERY: SIMPLE,BAR OR TAVERN,false,false,1414,14,35,22,08B,1156346,1915881,2014,41.924963051211705,-87.70093539283451
9485593,HX138616,02/03/2014,11:00:00 PM,043XX N CAMPBELL AVE,820,THEFT,THEFT: $500 AND UNDER,STREET,false,false,1911,19,47,5,6,1158704,1928710,2014,41.96011859696791,-87.69191828087891
9484644,HX138362,02/03/2014,11:00:00 PM,014XX N CENTRAL AVE,560,ASSAULT,ASSAULT: SIMPLE,RESIDENCE,true,true,2531,25,29,25,08A,1138689,1909242,2014,41.90708388828689,-87.76597737227232
9484675,HX138396,02/03/2014,11:00:00 PM,036XX W 56TH ST,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,false,false,822,8,14,62,08B,1153096,1867273,2014,41.7916422428359,-87.71416544076088
9485460,HX138844,02/03/2014,11:00:00 PM,050XX S ELIZABETH ST,920,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: ATT: AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),false,false,933,9,16,61,7,1168881,1871467,2014,41.80282451087938,-87.65616353193575
9484660,HX138363,02/03/2014,10:57:00 PM,013XX W 15TH ST,820,THEFT,THEFT: $500 AND UNDER,CHA APARTMENT,false,false,1233,12,2,28,6,1167750,1892902,2014,41.8616686470464,-87.6596949533222
9484616,HX138360,02/03/2014,10:49:00 PM,018XX W 18TH ST,1330,CRIMINAL TRESPASS,CRIMINAL TRESPASS: TO LAND,RESTAURANT,true,false,1234,12,25,31,26,1164200,1891469,2014,41.85781205808174,-87.67276682197627
9484661,HX138373,02/03/2014,10:45:00 PM,072XX S TALMAN AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,831,8,18,66,08B,1159930,1856205,2014,41.76113228528429,-87.68941015665465
9484672,HX138348,02/03/2014,10:44:00 PM,131XX S LANGLEY AVE,031A,ROBBERY,ROBBERY: ARMED: HANDGUN,SIDEWALK,false,false,533,5,9,54,3,1183284,1818484,2014,41.65710952980315,-87.60498594959878
9484651,HX138341,02/03/2014,10:40:00 PM,106XX S STATE ST,460,BATTERY,BATTERY: SIMPLE,STREET,true,false,512,5,34,49,08B,1178106,1834056,2014,41.69995996045846,-87.62346351387185
9484716,HX138355,02/03/2014,10:40:00 PM,048XX N PULASKI RD,820,THEFT,THEFT: $500 AND UNDER,OTHER,false,false,1712,17,39,14,6,1148812,1931939,2014,41.96917662820559,-87.72820233912579
9484606,HX138345,02/03/2014,10:37:00 PM,004XX E 47TH ST,2027,NARCOTICS,NARCOTICS: POSS: CRACK,STREET,true,false,223,2,3,38,18,1180070,1873917,2014,41.80929829297907,-87.61505364517149
9484753,HX138459,02/03/2014,10:30:00 PM,029XX N RUTHERFORD AVE,910,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: AUTOMOBILE,VEHICLE NON-COMMERCIAL,false,false,2511,25,36,18,7,1130866,1918984,2014,41.933955544729926,-87.79449026897075
9485648,HX138669,02/03/2014,10:30:00 PM,034XX N SHEFFIELD AVE,890,THEFT,THEFT: FROM BUILDING,BAR OR TAVERN,false,false,1924,19,44,6,6,1169031,1923225,2014,41.944849154321304,-87.6541113217623
9485702,HX138946,02/03/2014,10:30:00 PM,037XX W CHICAGO AVE,1320,CRIMINAL DAMAGE,CRIMINAL DAMAGE: TO VEHICLE,STREET,false,false,1112,11,27,23,14,1151497,1905045,2014,41.89532480652912,-87.71903807893898
9485225,HX138603,02/03/2014,10:30:00 PM,066XX S HALSTED ST,031A,ROBBERY,ROBBERY: ARMED: HANDGUN,GAS STATION,false,false,723,7,6,68,3,1172162,1860466,2014,41.77256497933046,-87.64445392428748
9484634,HX138342,02/03/2014,10:30:00 PM,084XX W CATHERINE AVE,486,BATTERY,BATTERY: DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,1614,16,41,76,08B,1118871,1934726,2014,41.97735200567306,-87.83823840315253
9485261,HX138570,02/03/2014,10:30:00 PM,041XX N TROY ST,910,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT: AUTOMOBILE,STREET,false,false,1724,17,33,16,7,1154680,1927555,2014,41.957030903620605,-87.70674350711401
