id,dwelown,polviews,SCIENTOD,hotcore,SCIENTBR,SYNMEM,divorce,MAOCC10,satfam7,whoelse1,engnrsci,CONVICTD,MEDTREAT,libcom,VISZOO,weekswrk,attend,satjob7,nathealy,phone,wordf,libhomo,jobsecok,peoptrbl,age,helpnot,SCIENTDN,natfarey,spkath,hivtest,PAIDLV,reliten,SCIENTGO,ENGLONE,posslq,region,histsci,kidsuffr,ELDCOST,ELDERSUP,accptoth,EVNEGJOB,coldeg1,obey,spkcom,natsci,natrace,intethn,natcity,wksubs,relate1,VISART,RUMORWK,SPOCC10,sprel,zodiac,cooking1,wlthblks,family16,madeg,intlblks,evstray,relhhd7,VOTE08,SCIENTAL,kidjoy,racopen,CSHUTYP08,poleff13,POLEFY15,intrace2,spanint,SPLIVE,POLEFY16,WEBMOB,finalter,natdrug,selffrst,nateducy,spevwork,astrosci,spother,homosex,libath,racecen1,emailmin,ENGRESP,wrkwayup,seeksci,ENGDO,spanself,gender2,rincome,fechld,MAIND10,VISLIB,relhh1,whoelse2,volchrty
1,1,4,NaN,NaN,NaN,NaN,NaN,NaN,1,2,NaN,2,NaN,2,NaN,42,2,2,2,6,1,2,2,3,22,NaN,NaN,1,NaN,2,1,2,NaN,NaN,NaN,1,NaN,2,NaN,4,3,NaN,NaN,NaN,2,2,NaN,1,NaN,4,1,NaN,4,NaN,NaN,7,NaN,5,1,3,4,3,NaN,2,NaN,3,2,1,NaN,2,NaN,NaN,NaN,NaN,NaN,3,NaN,3,1,NaN,NaN,NaN,4,NaN,1,NaN,NaN,2,NaN,NaN,NaN,2,NaN,1,NaN,NaN,1,2,6
2,NaN,5,3,1,4,NaN,NaN,100,NaN,2,NaN,2,1,2,0,30,NaN,NaN,1,6,NaN,2,1,3,21,2,2,3,1,2,NaN,2,1,NaN,NaN,1,NaN,NaN,NaN,NaN,5,NaN,NaN,2,1,1,NaN,1,NaN,NaN,1,0,4,NaN,NaN,1,NaN,NaN,5,1,NaN,3,NaN,3,3,NaN,1,1,NaN,2,NaN,NaN,NaN,2,NaN,1,NaN,1,1,NaN,2,NaN,1,2,1,NaN,NaN,NaN,5,NaN,NaN,1,NaN,NaN,2190,0,1,2,6
3,NaN,5,3,1,NaN,NaN,2,2540,NaN,2,1,1,NaN,2,1,52,NaN,NaN,NaN,3,NaN,2,1,2,42,3,3,NaN,1,1,NaN,1,2,NaN,1,1,3,NaN,NaN,NaN,3,NaN,NaN,4,1,1,2,1,2,3,1,0,3,2310,1,1,NaN,NaN,5,2,NaN,2,NaN,1,3,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,3,NaN,1,3,NaN,4,2,16,NaN,NaN,NaN,3,NaN,NaN,2,12,NaN,8470,2,1,2,6
4,1,5,NaN,1,NaN,NaN,1,NaN,2,2,1,2,NaN,NaN,0,0,NaN,NaN,2,3,1,NaN,NaN,NaN,49,5,NaN,3,NaN,1,1,2,NaN,3,NaN,1,4,5,1,2,NaN,NaN,NaN,2,NaN,3,NaN,1,NaN,NaN,1,0,NaN,4700,2,10,1,6,1,3,4,2,NaN,1,NaN,3,NaN,1,NaN,NaN,NaN,NaN,19,NaN,NaN,1,NaN,NaN,1,NaN,3,NaN,NaN,NaN,1,NaN,2,1,3,2,NaN,2,NaN,2,NaN,0,1,2,NaN
5,1,2,2,NaN,4,NaN,NaN,8350,2,2,NaN,2,1,NaN,2,0,1,NaN,1,3,1,NaN,NaN,NaN,70,3,3,1,NaN,2,1,3,2,NaN,NaN,2,NaN,4,2,1,NaN,NaN,2,4,NaN,1,NaN,1,NaN,NaN,1,0,NaN,NaN,NaN,2,NaN,4,3,1,5,2,NaN,1,3,1,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,1,NaN,1,NaN,NaN,NaN,2,30,NaN,1,5,NaN,NaN,NaN,NaN,2,8090,30,1,1,NaN
6,2,4,NaN,NaN,NaN,NaN,2,5700,4,2,NaN,2,NaN,2,NaN,0,NaN,NaN,NaN,6,1,2,NaN,2,50,NaN,NaN,NaN,1,NaN,1,2,NaN,NaN,2,2,NaN,4,1,2,3,NaN,NaN,NaN,1,1,3,1,1,3,1,NaN,NaN,NaN,NaN,2,2,4,0,1,5,NaN,NaN,1,NaN,2,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,1,4,NaN,NaN,NaN,NaN,4,2,1,5,NaN,2,NaN,NaN,NaN,2,NaN,2,770,NaN,1,2,6
7,2,4,NaN,NaN,NaN,NaN,2,4760,2,1,NaN,2,NaN,NaN,NaN,0,3,NaN,NaN,6,1,NaN,NaN,NaN,35,3,NaN,NaN,NaN,1,1,3,NaN,NaN,1,2,NaN,4,1,2,NaN,NaN,NaN,3,NaN,2,2,1,1,NaN,1,NaN,NaN,6260,2,8,1,4,1,1,NaN,2,NaN,2,NaN,2,NaN,1,NaN,NaN,NaN,NaN,12,NaN,NaN,3,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,NaN,2,NaN,NaN,NaN,2,NaN,2,8680,NaN,1,1,NaN
8,NaN,4,2,1,3,NaN,NaN,4230,NaN,1,4,2,NaN,1,0,0,3,NaN,2,6,NaN,2,NaN,2,24,1,2,1,NaN,NaN,NaN,2,3,NaN,NaN,2,NaN,NaN,NaN,NaN,5,NaN,NaN,1,2,2,NaN,1,NaN,NaN,1,0,NaN,NaN,NaN,8,NaN,NaN,7,NaN,NaN,NaN,NaN,3,3,NaN,1,1,NaN,2,NaN,NaN,NaN,2,NaN,2,NaN,2,2,NaN,2,NaN,4,2,16,NaN,NaN,NaN,5,NaN,NaN,2,NaN,NaN,9290,5,1,2,6
9,2,6,NaN,NaN,NaN,NaN,2,4720,3,1,NaN,NaN,NaN,2,NaN,0,NaN,NaN,NaN,6,0,1,NaN,2,28,NaN,NaN,NaN,1,1,1,4,NaN,NaN,2,2,NaN,4,1,1,5,NaN,NaN,NaN,1,3,1,1,1,NaN,1,NaN,NaN,NaN,NaN,7,1,7,0,1,NaN,2,NaN,1,NaN,1,2,1,2,NaN,NaN,NaN,0,NaN,1,2,2,2,NaN,NaN,NaN,NaN,4,2,2,NaN,NaN,1,NaN,NaN,NaN,NaN,NaN,2,4970,NaN,1,1,6
10,NaN,2,3,1,3,NaN,NaN,4600,NaN,2,NaN,1,1,2,0,52,2,NaN,NaN,6,NaN,2,2,2,28,1,NaN,NaN,1,1,NaN,4,2,NaN,4,2,NaN,NaN,NaN,NaN,4,2,2,5,1,2,1,1,NaN,3,1,0,1,NaN,NaN,2,NaN,NaN,1,1,NaN,3,NaN,1,3,NaN,2,1,2,NaN,NaN,NaN,NaN,NaN,NaN,3,1,4,NaN,NaN,3,NaN,4,2,1,NaN,NaN,NaN,3,NaN,NaN,NaN,12,NaN,7070,5,1,2,4
