"name","shortname","description","value_map"
"Name","Name","Satellite name","NaN"
"Country_of_Operator","Country","Country of satellite operator","NaN"
"Operator_Owner","Operator/owner","Operator/owner of satellite","NaN"
"Users","Users","Type of users of satellite","NaN"
"Purpose","Purpose","Purpose of satellite","NaN"
"Class_of_Orbit","class of orbit","description","{ ""LEO"": ""Low Earth orbit"",""MEO"": ""Medium Earth orbit"",""GEO"": ""Geostationary orbit"",""Elliptical"": ""Elliptical orbit"" }"
"Type_of_Orbit","Orbit type","Orbit type","NaN"
"Perigee_km","Perigee","Distance of perigee (kilometers)","NaN"
"Apogee_km","Apogee","Distance of apogee (kilometers)","NaN"
"Eccentricity","Eccentricity","Eccentricity of orbit (low values mean more circular, high values less circular)","NaN"
"Period_minutes","Period","Orbit period in minutes","NaN"
"Launch_Mass_kg","Launch mass","Mass of satellite at launch (kilograms)","NaN"
"Dry_Mass_kg","Dry mass","Dry mass of satellite at launch (kilograms)","NaN"
"Power_watts","Power","Power (watts)","NaN"
"Date_of_Launch","Launch date","Launch date","NaN"
"Expected_Lifetime","Expected lifetime","Expected lifetime of satellite (years)","NaN"
"Contractor","Contractor","Contractor","NaN"
"Country_of_Contractor","Contractor country","Contractor country","NaN"
"Launch_Site","Launch site","Site of launch","NaN"
"Launch_Vehicle","Launch vehicle","Launch vehicle","NaN"
"Source_Used_for_Orbital_Data","Orbit data source","Orbit data source","NaN"
"longitude_radians_of_geo","Longitude","Longitude (radians)","NaN"
"Inclination_radians","Inclination","Inclination (radians)","NaN"
