DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Distance
7,857,845,1058,1062,13,141,157,115,-4,12,981
7,1094,1100,1287,1305,2,373,385,349,-18,-6,2446
2,1111,1115,1260,1270,2,269,275,242,-10,-4,1846
1,604,607,956,972,17,232,245,206,-16,-3,1788
1,902,900,1021,1030,nan,239,250,224,-9,2,1489
4,461,470,705,713,13,184,183,167,-8,-9,1276
3,921,900,1063,1025,18,142,125,112,38,21,762
6,788,790,882,892,6,214,222,187,-10,-2,1379
3,792,803,970,979,13,118,116,95,-9,-11,629
3,855,860,931,930,2,196,190,176,1,-5,1205
2,1095,1095,1270,1245,17,355,330,306,25,0,2077
1,703,640,775,730,19,132,150,110,45,63,719
2,1054,1050,1242,1259,19,128,149,111,-17,4,913
3,643,650,849,855,9,146,145,122,-6,-7,967
5,1216,1190,1313,1295,18,97,105,82,18,26,670
7,615,610,689,690,18,74,80,59,-1,5,373
4,658,660,758,772,14,100,112,84,-14,-2,569
1,1007,935,1079,1010,18,72,75,60,69,72,417
5,497,500,552,555,18,55,55,36,-3,-3,178
3,1087,1049,1247,1205,15,nan,156,140,42,38,978
4,849,850,928,940,18,79,90,65,-12,-1,414
2,936,940,1026,1040,18,90,100,79,-14,-4,534
1,438,440,671,665,6,173,165,138,6,-2,1076
1,561,565,680,655,18,119,90,77,25,-4,407
2,458,460,636,671,5,178,211,162,-35,-2,1237
3,534,530,654,645,18,180,nan,156,9,4,998
4,753,675,893,815,2,200,200,181,78,78,1192
5,920,920,1137,1150,18,157,170,141,-13,0,1246
4,1108,1000,1227,1064,15,179,124,151,163,108,599
3,970,976,1064,1070,20,94,94,71,-6,-6,407
1,715,720,786,794,17,71,74,47,-8,-5,214
4,998,990,1187,1195,2,369,385,344,-8,8,2611
5,584,585,729,710,5,145,125,102,19,-1,631
3,585,585,672,695,18,147,170,nan,-23,0,957
1,435,435,563,552,8,128,117,74,11,0,526
1,522,525,621,627,6,159,162,126,-6,-3,719
7,689,660,766,740,18,77,80,55,26,29,373
5,551,555,649,665,16,98,110,80,-16,-4,602
4,742,725,899,885,18,97,100,87,14,17,673
5,744,525,1112,896,16,248,251,201,216,219,1846
4,449,450,618,614,6,349,344,298,4,-1,2227
1,882,883,965,975,6,143,152,124,-10,-1,853
5,946,895,1063,1018,19,117,123,80,45,51,529
2,387,390,755,749,2,248,239,217,6,-3,1745
3,867,870,1014,997,19,147,127,112,17,-3,643
4,923,905,983,970,18,60,65,39,13,18,226
1,466,450,640,630,15,114,120,91,10,16,641
1,773,535,1106,882,16,213,227,181,224,238,1754
5,374,375,439,440,18,125,125,108,-1,-1,646
5,872,875,938,944,6,66,69,42,-6,-3,305
5,642,640,700,705,18,118,125,103,-5,2,611
5,492,494,617,631,14,125,137,95,-14,-2,585
7,474,480,548,555,10,74,75,59,-7,-6,356
1,874,883,1025,1041,15,211,218,187,-16,-9,1403
1,673,675,813,830,17,140,155,121,-17,-2,861
4,745,650,1013,899,16,208,189,174,114,95,1249
2,1283,1285,1378,1390,18,95,105,73,-12,-2,602
5,763,746,773,764,10,70,78,55,9,17,332
1,422,420,740,753,17,198,213,177,-13,2,1557
6,1119,1055,1401,1350,18,162,175,149,nan,64,1235
3,1217,1170,1271,1225,18,54,55,40,46,47,239
3,1124,1110,1188,1180,2,64,70,41,8,14,247
1,782,785,896,889,17,114,104,77,7,-3,428
1,1185,1175,1210,1193,20,85,78,57,17,10,338
1,832,840,1181,1160,2,229,200,167,21,-8,1431
3,411,420,555,565,17,144,145,126,-10,-9,899
2,472,478,641,650,15,109,112,88,-9,-6,599
1,1042,1048,1225,1231,13,243,243,223,-6,-6,1501
1,841,840,885,890,18,44,50,34,-5,1,189
3,511,490,627,610,2,176,180,154,17,21,984
1,679,675,790,790,1,171,175,139,0,4,874
2,409,410,566,573,19,157,163,114,-7,-1,954
7,580,575,743,729,17,343,334,308,14,5,2125
6,1160,990,155,12,16,255,282,236,143,170,2288
3,813,811,963,965,7,210,214,190,-2,2,1249
2,1034,998,1125,1094,10,151,156,134,31,36,906
5,592,565,730,695,7,138,130,119,35,27,773
4,1268,1215,1365,1333,10,97,118,83,32,53,594
4,884,888,988,985,17,104,97,82,3,-4,507
7,883,875,1070,1050,1,187,175,136,20,8,1005
3,885,885,961,960,16,136,135,100,1,0,612
6,1076,1080,1224,1220,13,148,140,105,4,-4,632
1,390,390,467,480,18,137,150,127,-13,0,781
2,1051,1045,1161,1174,7,110,129,90,-13,6,576
2,1276,1256,1437,1427,16,101,111,83,10,20,606
7,1094,1085,1210,1210,12,56,65,34,0,9,177
1,667,655,817,806,7,150,151,120,11,12,946
4,360,360,378,380,18,78,80,56,-2,0,368
6,358,360,537,539,8,119,119,94,-2,-2,692
1,835,820,982,965,2,207,205,180,17,15,1217
6,998,869,1101,958,10,103,89,67,143,129,403
3,1290,1295,35,20,2,185,165,167,15,-5,978
6,566,565,647,635,18,141,130,125,12,1,646
2,510,510,645,646,14,135,136,101,-1,0,760
2,508,510,576,579,7,68,69,49,-3,-2,214
6,946,939,1148,1140,17,142,141,120,8,7,913
5,838,840,917,925,18,79,85,64,-8,-2,408
3,804,785,983,965,2,119,120,96,18,19,678
5,671,660,769,750,19,98,90,61,19,11,391
4,337,340,392,395,6,55,55,36,-3,-3,140
4,1197,1200,1260,1274,17,63,74,37,-14,-3,185
1,409,405,546,555,2,137,150,118,-9,nan,802
7,1044,1015,1105,1065,18,61,50,31,40,29,148
2,1034,1040,1174,1185,12,140,145,81,-11,-6,416
4,1042,955,1236,1160,18,134,145,118,76,87,1013
6,512,515,739,740,2,167,165,122,-1,-3,988
2,726,696,1059,1021,16,213,205,185,38,30,1504
7,961,965,1174,1175,18,153,150,134,-1,-4,1040
6,864,765,1024,930,2,100,105,84,94,99,674
5,375,380,734,750,16,239,250,218,-16,-5,1829
6,1012,1020,1053,1073,17,161,173,147,-20,-8,1055
5,1164,1170,1243,1245,18,79,75,56,-2,-6,337
5,841,840,1026,1047,6,245,267,222,-21,1,1569
4,1302,1169,1420,1269,2,178,160,126,151,133,733
5,489,490,648,620,5,159,130,116,28,-1,728
4,737,740,831,835,7,94,95,66,-4,-3,406
6,1052,965,1208,1122,8,96,97,72,86,87,483
5,735,740,1166,1157,7,251,237,193,9,-5,1747
7,952,957,1053,1044,9,221,207,190,9,-5,1199
5,1016,1020,1318,1335,18,182,195,171,-17,-4,1491
2,470,470,558,565,18,88,95,77,-7,0,546
7,1050,820,1150,925,19,160,165,114,225,230,719
1,1421,1430,443,440,13,342,330,310,3,-9,nan
1,1317,1320,1405,1434,17,148,174,130,-29,-3,930
4,400,405,536,540,12,76,75,49,-4,-5,316
2,554,525,702,685,18,88,100,71,17,29,577
3,551,554,727,736,13,176,182,149,-9,-3,1127
4,712,688,804,799,16,152,171,137,5,24,1024
6,1063,1065,1253,1280,2,370,395,326,-27,-2,2586
2,1240,1215,1364,1355,18,124,140,109,9,25,787
5,640,640,719,725,17,79,85,63,-6,0,331
7,748,732,860,843,7,112,111,73,17,16,526
2,526,520,585,545,2,119,85,51,40,6,235
2,1009,990,1092,1075,12,83,85,67,17,19,372
7,546,540,627,634,17,81,94,58,-7,6,361
1,1182,1140,1261,1225,18,79,85,66,36,42,404
2,1322,1305,1382,1370,16,60,65,43,12,17,224
5,1048,1045,1044,nan,18,56,65,47,-6,3,304
1,986,980,1082,1083,17,96,103,67,-1,6,448
4,567,560,715,694,6,268,254,222,21,7,1609
1,1149,1150,1322,1350,5,173,200,144,-28,-1,1005
7,572,565,737,725,2,285,280,267,12,7,1829
6,1229,1235,1241,1245,18,72,70,57,-4,-6,338
7,420,420,604,622,17,304,322,283,-18,0,2075
7,811,810,965,964,5,154,154,136,1,1,944
4,652,655,691,705,18,99,110,86,-14,-3,533
5,1033,1035,1119,1104,6,86,69,56,15,-2,305
4,1066,1015,1256,1220,18,130,145,117,36,51,1013
3,1144,1130,1250,1235,2,226,225,194,15,14,1438
3,660,590,1129,1098,6,289,328,260,31,70,2454
3,823,815,962,960,18,199,205,185,2,8,1262
4,525,535,598,609,5,73,74,45,-11,-10,228
2,927,907,1261,1240,13,214,213,189,21,20,1589
2,1143,1147,1273,1277,13,190,190,166,-4,-4,1076
3,904,905,1041,1055,16,257,270,235,-14,-1,1846
4,1086,1060,1286,1275,18,140,155,127,11,26,997
4,668,655,725,725,2,177,190,161,0,13,1171
5,856,865,1188,1177,6,212,192,188,11,-9,1379
1,478,483,635,635,16,277,272,249,0,-5,1709
3,536,539,662,675,6,246,256,219,-13,-3,1628
5,664,660,815,823,13,151,163,126,-8,4,957
4,752,740,945,921,7,193,181,165,24,12,1090
7,1207,1147,1338,1280,10,131,133,107,58,60,761
2,1219,1220,1402,1410,18,123,130,107,-8,-1,895
7,1011,1001,1195,1200,16,124,139,106,-5,10,888
2,850,841,982,978,14,72,77,57,4,nan,307
4,615,610,685,685,18,70,75,61,0,5,417
3,1283,1292,1380,1373,13,97,81,62,7,-9,408
4,540,545,764,795,11,344,370,329,-31,-5,2762
3,1204,1210,1391,1344,19,187,134,83,47,-6,644
1,362,365,525,550,5,163,185,142,-25,-3,1065
7,1203,1165,13,1390,6,370,345,304,63,38,2133
5,1244,1186,1421,1351,16,297,285,269,70,58,1835
6,1068,1085,1228,1232,6,160,147,138,-4,-17,895
4,1135,1080,86,35,18,211,215,190,51,55,1591
7,913,900,1140,1110,5,227,210,165,30,13,1237
3,921,920,1088,1090,18,167,170,149,-2,1,920
7,706,705,821,825,18,175,180,154,-4,1,993
7,1191,1195,1266,1280,18,75,85,65,-14,-4,446
1,1320,1269,1337,1288,17,77,79,51,49,51,304
7,1226,1230,1308,1324,17,82,94,65,-16,-4,280
4,452,455,533,540,9,201,205,180,-7,-3,1199
4,1184,1165,1217,1187,7,93,82,62,30,19,368
1,530,360,695,524,16,105,104,81,171,170,589
3,857,840,912,905,2,115,125,95,7,17,641
4,497,500,754,745,2,197,185,177,9,-3,1302
2,845,840,920,906,17,75,66,54,14,5,236
5,482,480,609,634,16,247,274,227,-25,2,1721
5,1136,1140,1283,1300,19,147,160,123,-17,-4,984
4,776,785,942,959,15,106,114,89,-17,-9,585
5,584,1000,722,1130,2,198,190,174,1032,1024,1121
3,1015,1022,1068,1098,16,113,136,100,-30,-7,622
5,416,425,518,520,16,102,95,82,-2,-9,447
1,589,585,661,665,18,72,80,61,-4,4,371
3,683,600,796,706,16,113,106,85,90,83,550
5,402,390,408,400,18,66,70,53,8,12,304
1,790,795,879,885,10,89,90,73,-6,-5,468
5,584,585,955,940,18,251,nan,203,15,-1,1750
1,1184,1155,1329,1205,12,205,110,86,124,29,412
6,381,390,557,580,4,176,190,154,-23,-9,1050
