"loan_id","loan_status","num_borrowers","gender_ratio","borrower_picture","desc_language","sector","activity","loan_amount","funded_amount","basket_amount","paid_amount","currency_exchange_loss_amount","disbursal_currency","posted_date","funded_date","paid_date","planned_expiration_date","delinquent","video","country_code","journal_entries","bulk_entries","partner_id","partner_status","num_lenders","partner_rating","due_diligence_type","partner_start_date","delinquency_rate","default_rate","total_amount_raised","partner_loans_posted","lender_country_code","lender_occupation","lender_loan_count","lender_inviter","lender_invitee_count","lender_member_since","lender_teams_count"
160000,"paid",1,1,0,"es","Retail","Cosmetics Sales",350,350,0,350,0,"PEN",3653.334155,3658.206458,3829.339988,10000,"FALSE","TRUE","PE",0,0,72,"active",11,3.5,"Full",2792.684063,0,0.005931304,4219675,8595,"US","retire",30,"FALSE",1,3329.128194,0
131678,"paid",1,1,0,"en","Retail","General Store",125,125,0,125,0,"PHP",3523.812581,3523.833345,3698.422569,10000,"FALSE","TRUE","PH",1,0,123,"active",5,4,"Full",3248.083449,1.689603515,0.11687322,6078025,14387,"US","other",62,"FALSE",0,2932.821701,0
232488,"paid",19,0.421052632,0,"en","Food","Pub",2375,2375,0,2375,0,"UGX",3916.798704,3917.169954,4032.599977,10000,"FALSE","TRUE","UG",1,0,84,"active",50,3,"Full",2808.638924,93.35345996,0.388753284,8096225,3668,NaN,NaN,NaN,"FALSE",NaN,NaN,0
491927,"in_repayment",1,1,0,"en","Food","Butcher Shop",2775,2775,0,1388.07,0,"MNT",4693.097245,4707.857257,NaN,4723.097245,"FALSE","TRUE","MN",1,0,116,"active",1,5,"Full",3296.277859,0.096938366,0.152454689,7185200,5400,"SG","other",11,"FALSE",0,4006.383924,0
333348,"paid",9,0.555555556,0,"en","Agriculture","Farming",800,800,0,800,0,"KES",4280.201435,4282.001597,4710.41787,10000,"FALSE","TRUE","KE",2,0,202,"pilot",31,NaN,"Full",4280.201412,0,0.758235319,1062150,1546,"TW","other",6580,"FALSE",0,2938.453623,0
520653,"in_repayment",1,0,0,"ru","Food","Cafe",1850,1850,0,308.21,0,"UAH",4773.763912,4777.693264,NaN,4803.763912,"FALSE","TRUE","UA",1,0,26,"active",17,3,"Full",2542.069363,1.201973026,0,4217650,3403,"US","teach",211,"FALSE",2,2739.164398,2
209401,"paid",1,1,0,"en","Retail","Retail",350,350,0,350,0,"PHP",3825.701424,3829.069491,4122.468681,10000,"FALSE","TRUE","PH",2,0,128,"active",13,3,"Full",3335.209225,0.302681246,0,3162925,15572,"CA","teach",5,"FALSE",1,3665.075556,0
37469,"paid",1,0,0,"en","Retail","Office Supplies",1000,1000,0,1000,0,"USD",3012.833414,3016.329456,3333.549375,10000,"FALSE","TRUE","TJ",1,0,100,"active",28,4.5,"Full",2914.746678,1.234488502,0.022184211,8264550,6934,NaN,"other",68,"FALSE",2,2951.399688,0
99084,"paid",1,1,0,"en","Retail","Spare Parts",700,700,0,700,0,"NGN",3378.805625,3378.922963,3667.623183,10000,"FALSE","TRUE","NG",1,0,20,"closed",10,0,"Full",2498.318692,0,0,4976700,8593,"CA","designer",36,"FALSE",0,2644.702488,0
172953,"paid",1,1,0,"en","Agriculture","Farming",300,300,0,300,0,"PHP",3682.159792,3682.230486,3848.40022,10000,"FALSE","TRUE","PH",1,0,125,"active",6,3.5,"Full",3245.674063,0,0.215195216,2180325,9507,"US","other",38,"FALSE",2,3611.790995,0
